Year,Month,AO
1988,6,0.060528
1988,7,-0.14337
1988,8,0.25457
1988,9,1.0393
1988,10,0.032359
1988,11,-0.034655
1988,12,1.6788
1989,1,3.106
1989,2,3.2793
1989,3,1.5303
1989,4,-0.25024
1989,5,0.88883
1989,6,0.34498
1989,7,0.86555
1989,8,0.5509
1989,9,0.70313
1989,10,0.99069
1989,11,0.033782
1989,12,-0.64365
1990,1,1.0007
1990,2,3.4016
1990,3,2.99
1990,4,1.8788
1990,5,0.94282
1990,6,0.3043
1990,7,-0.29581
1990,8,-0.18024
1990,9,-0.2104
1990,10,0.66034
1990,11,0.52064
1990,12,1.2767
1991,1,0.72323
1991,2,-0.87599
1991,3,-0.5268
1991,4,0.53021
1991,5,0.48649
1991,6,-0.11536
1991,7,-0.18797
1991,8,0.79688
1991,9,-0.11221
1991,10,-0.25195
1991,11,0.28465
1991,12,1.6132
1992,1,0.55003
1992,2,1.1217
1992,3,0.98423
1992,4,-0.52053
1992,5,1.3414
1992,6,-0.30196
1992,7,0.19113
1992,8,0.53534
1992,9,-0.6403
1992,10,-0.36589
1992,11,0.71699
1992,12,1.6267
1993,1,3.4953
1993,2,0.1845
1993,3,0.76435
1993,4,-0.43545
1993,5,-1.6075
1993,6,-0.51951
1993,7,-0.5107
1993,8,-0.39299
1993,9,-0.36063
1993,10,-0.56501
1993,11,1.0018
1993,12,-0.10412
1994,1,-0.28785
1994,2,-0.86154
1994,3,1.881
1994,4,0.22474
1994,5,-0.11545
1994,6,1.6063
1994,7,0.35074
1994,8,0.82753
1994,9,-0.084055
1994,10,0.17403
1994,11,1.7794
1994,12,0.89383
1995,1,-0.15377
1995,2,1.4289
1995,3,0.39323
1995,4,-0.96313
1995,5,-0.8912
1995,6,-0.11182
1995,7,-0.21708
1995,8,0.54359
1995,9,-0.54903
1995,10,0.075041
1995,11,-0.72327
1995,12,-2.1271
1996,1,-1.2004
1996,2,0.16321
1996,3,-1.4832
1996,4,-1.5251
1996,5,-0.22642
1996,6,0.49673
1996,7,0.71457
1996,8,0.12471
1996,9,-1.14
1996,10,0.18253
1996,11,0.13637
1996,12,-1.7208
1997,1,-0.45677
1997,2,1.8887
1997,3,1.0908
1997,4,0.32363
1997,5,-0.96113
1997,6,-0.81499
1997,7,-0.43061
1997,8,0.12062
1997,9,0.19451
1997,10,-0.69971
1997,11,-0.66113
1997,12,-0.071116
1998,1,-2.0806
1998,2,-0.18318
1998,3,-0.25442
1998,4,-0.037912
1998,5,0.42864
1998,6,-0.71073
1998,7,-0.21167
1998,8,0.65033
1998,9,-1.0499
1998,10,0.29433
1998,11,-1.4494
1998,12,1.3534
1999,1,0.11035
1999,2,0.48213
1999,3,-1.4916
1999,4,0.28445
1999,5,0.22587
1999,6,0.70703
1999,7,-0.0020418
1999,8,-0.67215
1999,9,0.059078
1999,10,-0.0058023
1999,11,0.61094
1999,12,1.0431
2000,1,1.2702
2000,2,1.0758
2000,3,-0.45136
2000,4,-0.27852
2000,5,0.96909
2000,6,0.5861
2000,7,-0.64943
2000,8,0.14389
2000,9,0.39486
2000,10,0.31678
2000,11,-1.5815
2000,12,-2.3544
2001,1,-0.95883
2001,2,-0.62241
2001,3,-1.6865
2001,4,0.90598
2001,5,0.45196
2001,6,-0.015338
2001,7,-0.030988
2001,8,0.5205
2001,9,-0.7066
2001,10,0.70747
2001,11,0.81865
2001,12,-1.3224
2002,1,1.3813
2002,2,1.3035
2002,3,0.902
2002,4,0.74841
2002,5,0.40136
2002,6,0.57274
2002,7,0.32764
2002,8,-0.22853
2002,9,-0.042744
2002,10,-1.4885
2002,11,-1.4251
2002,12,-1.5921
2003,1,-0.47167
2003,2,0.1278
2003,3,0.93297
2003,4,-0.17811
2003,5,1.0167
2003,6,-0.10212
2003,7,0.075316
2003,8,-0.28037
2003,9,0.46658
2003,10,-0.66981
2003,11,0.64242
2003,12,0.26521
2004,1,-1.6858
2004,2,-1.5285
2004,3,0.31806
2004,4,-0.40938
2004,5,-0.094252
2004,6,-0.23587
2004,7,-0.20054
2004,8,-0.72019
2004,9,0.85501
2004,10,-0.51542
2004,11,0.67827
2004,12,1.2301
2005,1,0.35617
2005,2,-1.2706
2005,3,-1.3479
2005,4,-0.046214
2005,5,-0.76336
2005,6,-0.38324
2005,7,-0.030247
2005,8,0.026141
2005,9,0.80239
2005,10,0.029768
2005,11,0.22769
2005,12,-2.1039
2006,1,-0.17047
2006,2,-0.15577
2006,3,-1.6038
2006,4,0.13833
2006,5,0.15581
2006,6,1.0708
2006,7,0.1027
2006,8,-0.26525
2006,9,0.60649
2006,10,-1.0291
2006,11,0.52131
2006,12,2.2817
2007,1,2.0338
2007,2,-1.3069
2007,3,1.1821
2007,4,0.54427
2007,5,0.89367
2007,6,-0.55496
2007,7,-0.39652
2007,8,-0.033738
2007,9,0.17892
2007,10,0.38348
2007,11,-0.51866
2007,12,0.82113
2008,1,0.81896
2008,2,0.93807
2008,3,0.58559
2008,4,-0.45501
2008,5,-1.2047
2008,6,-0.08978
2008,7,-0.47992
2008,8,-0.080482
2008,9,-0.32657
2008,10,1.6758
2008,11,0.092205
2008,12,0.64778
2009,1,0.79975
2009,2,-0.6723
2009,3,0.12134
2009,4,0.97253
2009,5,1.1937
2009,6,-1.3507
2009,7,-1.3559
2009,8,-0.053666
2009,9,0.87451
2009,10,-1.5399
2009,11,0.45885
2009,12,-3.4128
2010,1,-2.5868
2010,2,-4.2657
2010,3,-0.43208
2010,4,-0.2745
2010,5,-0.91864
2010,6,-0.013004
2010,7,0.43527
2010,8,-0.1166
2010,9,-0.86464
2010,10,-0.46697
2010,11,-0.37575
2010,12,-2.631
2011,1,-1.6831
2011,2,1.5754
2011,3,1.4241
2011,4,2.2748
2011,5,-0.035093
2011,6,-0.85775
2011,7,-0.47162
2011,8,-1.0626
2011,9,0.66474
2011,10,0.79975
2011,11,1.4592
2011,12,2.2208
2012,1,-0.21966
2012,2,-0.036335
2012,3,1.0371
2012,4,-0.034571
2012,5,0.16841
2012,6,-0.67241
2012,7,0.16779
2012,8,0.013999
2012,9,0.77225
2012,10,-1.514
2012,11,-0.11057
2012,12,-1.7486
2013,1,-0.61
2013,2,-1.007
2013,3,-3.185
2013,4,0.322
2013,5,0.494
2013,6,0.549
2013,7,-0.011
2013,8,0.154
2013,9,-0.461
2013,10,0.263
2013,11,2.029
2013,12,1.475
2014,1,-0.969
2014,2,0.044
2014,3,1.206
2014,4,0.972
2014,5,0.464
2014,6,-0.507
2014,7,-0.489
2014,8,-0.372
2014,9,0.102
2014,10,-1.134
2014,11,-0.53
2014,12,0.413
2015,1,1.092
2015,2,1.043
2015,3,1.837
2015,4,1.216
2015,5,0.763
2015,6,0.427
2015,7,-1.108
2015,8,-0.689
2015,9,-0.165
2015,10,-0.25
2015,11,1.945
2015,12,1.444
2016,1,-1.449
2016,2,-0.024
2016,3,0.28
2016,4,-1.051
2016,5,-0.036
2016,6,0.313
2016,7,0.085
2016,8,0.472
2016,9,0.781
2016,10,-1.917
2016,11,-0.611
2016,12,1.786
2017,1,0.942
2017,2,0.34
2017,3,1.365
2017,4,-0.089
2017,5,-0.73
2017,6,0.402
2017,7,0.634
2017,8,0.15
2017,9,-0.492
2017,10,0.69
2017,11,-0.078
2017,12,-0.059
2018,1,-0.281
2018,2,0.113
2018,3,-0.941
2018,4,0.544
2018,5,1.18
2018,6,0.38
2018,7,0.612
2018,8,0.836
2018,9,0.585
2018,10,0.413
2018,11,-1.116
2018,12,0.11
2019,1,0.713
2019,2,1.149
2019,3,2.116
2019,4,-0.255
2019,5,-1.231
2019,6,-0.601
2019,7,-0.89
2019,8,-0.722
2019,9,0.306
2019,10,-0.082
2019,11,-1.193
2019,12,0.412
2020,1,2.419
2020,2,3.417
2020,3,2.641
2020,4,0.928
2020,5,-0.027
2020,6,-0.122
2020,7,-0.412
2020,8,-0.381
2020,9,0.631
2020,10,-0.072
2020,11,2.086
2020,12,-1.736
2021,1,-2.484
2021,2,-1.191
2021,3,2.109
2021,4,-0.204
2021,5,-0.161
2021,6,0.84
2021,7,0.625
2021,8,-0.217
2021,9,-0.247
2021,10,-0.139
2021,11,0.099
2021,12,0.201
