LAT,LONG,DEM
61.900000,-163.316667,1
61.616667,-163.316667,9
61.333333,-163.316667,7
61.050000,-163.316667,4
60.766667,-163.316667,5
60.483333,-163.316667,14
60.200000,-163.316667,6
59.916667,-163.316667,5
54.816667,-163.316667,161
69.266667,-163.033333,45
68.983333,-163.033333,367
68.700000,-163.033333,260
68.416667,-163.033333,489
68.133333,-163.033333,352
67.850000,-163.033333,311
67.566667,-163.033333,20
67.283333,-163.033333,26
65.866667,-163.033333,199
65.583333,-163.033333,402
65.300000,-163.033333,690
65.016667,-163.033333,34
64.733333,-163.033333,232
63.033333,-163.033333,38
62.750000,-163.033333,41
62.466667,-163.033333,101
62.183333,-163.033333,60
61.900000,-163.033333,1
61.616667,-163.033333,18
61.333333,-163.033333,21
61.050000,-163.033333,7
60.766667,-163.033333,13
60.483333,-163.033333,14
60.200000,-163.033333,9
59.916667,-163.033333,6
55.100000,-163.033333,21
69.833333,-162.750000,15
69.550000,-162.750000,21
69.266667,-162.750000,122
68.983333,-162.750000,328
68.700000,-162.750000,341
68.416667,-162.750000,573
68.133333,-162.750000,490
67.850000,-162.750000,55
67.566667,-162.750000,27
67.283333,-162.750000,11
65.866667,-162.750000,60
65.583333,-162.750000,116
65.300000,-162.750000,855
65.016667,-162.750000,94
64.733333,-162.750000,213
64.450000,-162.750000,297
63.033333,-162.750000,94
62.750000,-162.750000,213
62.466667,-162.750000,40
62.183333,-162.750000,18
61.900000,-162.750000,2
61.616667,-162.750000,16
61.333333,-162.750000,30
61.050000,-162.750000,12
60.766667,-162.750000,14
60.483333,-162.750000,3
60.200000,-162.750000,2
55.100000,-162.750000,133
69.833333,-162.466667,26
69.550000,-162.466667,30
69.266667,-162.466667,185
68.983333,-162.466667,363
68.700000,-162.466667,537
68.416667,-162.466667,730
68.133333,-162.466667,316
67.850000,-162.466667,90
67.566667,-162.466667,45
67.283333,-162.466667,245
65.866667,-162.466667,35
65.583333,-162.466667,102
65.300000,-162.466667,611
65.016667,-162.466667,490
64.733333,-162.466667,274
63.600000,-162.466667,36
63.316667,-162.466667,11
63.033333,-162.466667,364
62.750000,-162.466667,135
62.466667,-162.466667,248
62.183333,-162.466667,27
61.900000,-162.466667,2
61.616667,-162.466667,25
61.333333,-162.466667,12
61.050000,-162.466667,12
60.766667,-162.466667,12
60.483333,-162.466667,3
60.200000,-162.466667,1
55.383333,-162.466667,4
55.100000,-162.466667,201
70.116667,-162.183333,6
69.833333,-162.183333,40
69.550000,-162.183333,45
69.266667,-162.183333,122
68.983333,-162.183333,536
68.700000,-162.183333,359
68.416667,-162.183333,410
68.133333,-162.183333,327
67.850000,-162.183333,110
67.566667,-162.183333,449
67.283333,-162.183333,120
66.716667,-162.183333,9
65.866667,-162.183333,135
65.583333,-162.183333,245
65.300000,-162.183333,91
65.016667,-162.183333,107
64.733333,-162.183333,105
63.316667,-162.183333,30
63.033333,-162.183333,305
62.750000,-162.183333,274
62.466667,-162.183333,167
62.183333,-162.183333,6
61.900000,-162.183333,3
61.616667,-162.183333,11
61.333333,-162.183333,12
61.050000,-162.183333,12
60.766667,-162.183333,3
60.483333,-162.183333,2
60.200000,-162.183333,1
55.666667,-162.183333,129
55.383333,-162.183333,689
70.116667,-161.900000,15
69.833333,-161.900000,45
69.550000,-161.900000,45
69.266667,-161.900000,384
68.983333,-161.900000,245
68.700000,-161.900000,444
68.416667,-161.900000,648
68.133333,-161.900000,309
67.850000,-161.900000,490
67.566667,-161.900000,205
67.283333,-161.900000,111
65.866667,-161.900000,35
65.583333,-161.900000,69
65.300000,-161.900000,63
65.016667,-161.900000,55
63.316667,-161.900000,234
63.033333,-161.900000,279
62.750000,-161.900000,269
62.466667,-161.900000,30
62.183333,-161.900000,30
61.900000,-161.900000,266
61.616667,-161.900000,30
61.333333,-161.900000,9
61.050000,-161.900000,8
60.766667,-161.900000,30
60.483333,-161.900000,3
60.200000,-161.900000,5
59.916667,-161.900000,7
59.350000,-161.900000,14
55.666667,-161.900000,147
55.383333,-161.900000,1169
70.116667,-161.616667,32
69.833333,-161.616667,46
69.550000,-161.616667,61
69.266667,-161.616667,147
68.983333,-161.616667,481
68.700000,-161.616667,640
68.416667,-161.616667,526
68.133333,-161.616667,181
67.850000,-161.616667,512
67.566667,-161.616667,465
67.283333,-161.616667,61
66.716667,-161.616667,1
66.433333,-161.616667,34
66.150000,-161.616667,57
65.866667,-161.616667,152
65.583333,-161.616667,110
65.300000,-161.616667,221
65.016667,-161.616667,140
63.316667,-161.616667,471
63.033333,-161.616667,361
62.750000,-161.616667,277
62.466667,-161.616667,97
62.183333,-161.616667,135
61.900000,-161.616667,103
61.616667,-161.616667,5
61.333333,-161.616667,9
61.050000,-161.616667,9
60.766667,-161.616667,1
60.483333,-161.616667,25
60.200000,-161.616667,28
59.916667,-161.616667,30
59.633333,-161.616667,35
59.350000,-161.616667,238
59.066667,-161.616667,2
58.783333,-161.616667,13
55.666667,-161.616667,23
70.116667,-161.333333,36
69.833333,-161.333333,38
69.550000,-161.333333,98
69.266667,-161.333333,268
68.983333,-161.333333,610
68.700000,-161.333333,621
68.416667,-161.333333,587
68.133333,-161.333333,299
67.850000,-161.333333,641
67.566667,-161.333333,563
67.283333,-161.333333,52
67.000000,-161.333333,41
66.716667,-161.333333,1
66.433333,-161.333333,30
66.150000,-161.333333,60
65.866667,-161.333333,202
65.583333,-161.333333,365
65.300000,-161.333333,228
65.016667,-161.333333,60
64.450000,-161.333333,10
63.316667,-161.333333,269
63.033333,-161.333333,579
62.750000,-161.333333,365
62.466667,-161.333333,212
62.183333,-161.333333,91
61.900000,-161.333333,120
61.616667,-161.333333,15
61.333333,-161.333333,6
61.050000,-161.333333,6
60.766667,-161.333333,15
60.483333,-161.333333,32
60.200000,-161.333333,45
59.916667,-161.333333,59
59.633333,-161.333333,129
59.350000,-161.333333,519
59.066667,-161.333333,159
58.783333,-161.333333,14
55.950000,-161.333333,13
55.666667,-161.333333,13
70.116667,-161.050000,45
69.833333,-161.050000,75
69.550000,-161.050000,92
69.266667,-161.050000,273
68.983333,-161.050000,333
68.700000,-161.050000,614
68.416667,-161.050000,708
68.133333,-161.050000,478
67.850000,-161.050000,365
67.566667,-161.050000,365
67.283333,-161.050000,60
67.000000,-161.050000,120
66.716667,-161.050000,14
66.433333,-161.050000,51
65.866667,-161.050000,63
65.583333,-161.050000,368
65.300000,-161.050000,190
65.016667,-161.050000,84
64.450000,-161.050000,28
63.316667,-161.050000,325
63.033333,-161.050000,417
62.750000,-161.050000,80
62.466667,-161.050000,201
62.183333,-161.050000,261
61.900000,-161.050000,5
61.616667,-161.050000,19
