LAT,LONG,KPN
81.733333,-77.466667,62
81.733333,-77.183333,62
81.733333,-76.900000,62
81.733333,-76.616667,62
81.733333,-76.333333,62
81.733333,-76.050000,62
81.733333,-75.766667,62
81.733333,-75.483333,62
81.733333,-75.200000,62
81.733333,-74.916667,62
81.733333,-74.633333,62
81.733333,-74.350000,62
81.733333,-74.066667,62
81.733333,-73.783333,62
81.733333,-73.500000,62
81.733333,-73.216667,62
81.733333,-72.933333,62
81.733333,-72.650000,62
81.733333,-72.366667,62
81.733333,-72.083333,62
81.733333,-71.800000,62
81.733333,-71.516667,62
81.733333,-71.233333,62
81.733333,-70.950000,62
81.733333,-70.666667,62
81.733333,-70.383333,62
81.733333,-70.100000,62
81.733333,-69.816667,62
81.733333,-69.533333,62
81.733333,-69.250000,62
81.733333,-68.966667,62
81.733333,-68.683333,62
81.733333,-68.400000,62
81.733333,-68.116667,62
81.733333,-67.833333,62
81.733333,-67.550000,62
81.733333,-67.266667,62
81.733333,-66.983333,62
81.733333,-66.700000,62
81.733333,-66.416667,62
81.733333,-66.133333,62
81.733333,-65.850000,62
81.733333,-65.566667,62
81.733333,-64.716667,62
81.733333,-64.433333,62
81.450000,-90.783333,62
81.450000,-90.500000,62
81.450000,-90.216667,62
81.450000,-89.933333,62
81.450000,-89.083333,62
81.450000,-88.800000,62
81.450000,-88.516667,62
81.450000,-88.233333,62
81.450000,-87.950000,62
81.450000,-87.666667,62
81.450000,-87.383333,62
81.450000,-87.100000,62
81.450000,-86.816667,62
81.450000,-86.533333,62
81.450000,-86.250000,62
81.450000,-85.966667,62
81.450000,-85.683333,62
81.450000,-85.400000,62
81.450000,-85.116667,62
81.450000,-84.833333,62
81.450000,-84.550000,62
81.450000,-84.266667,62
81.450000,-83.983333,62
81.450000,-83.700000,62
81.450000,-83.416667,62
81.450000,-83.133333,62
81.450000,-82.850000,62
81.450000,-82.566667,62
81.450000,-82.283333,62
81.450000,-82.000000,62
81.450000,-81.716667,62
81.450000,-81.433333,62
81.450000,-81.150000,62
81.450000,-80.866667,62
81.450000,-80.583333,62
81.450000,-80.300000,62
81.450000,-80.016667,62
81.450000,-79.733333,62
81.450000,-79.450000,62
81.450000,-79.166667,62
81.450000,-78.883333,62
81.450000,-78.600000,62
81.450000,-78.316667,62
81.450000,-78.033333,62
81.450000,-77.750000,62
81.450000,-77.466667,62
81.450000,-77.183333,62
81.450000,-76.900000,62
81.450000,-76.616667,62
81.450000,-76.333333,62
81.450000,-76.050000,62
81.450000,-75.766667,62
81.450000,-75.483333,62
81.450000,-75.200000,62
81.450000,-74.916667,62
81.450000,-74.633333,62
81.450000,-74.350000,62
81.450000,-74.066667,62
81.450000,-73.783333,62
81.450000,-73.500000,62
81.450000,-73.216667,62
81.450000,-72.933333,62
81.450000,-72.650000,62
81.450000,-72.366667,62
81.450000,-72.083333,62
81.450000,-71.800000,62
81.450000,-71.516667,62
81.450000,-71.233333,62
81.450000,-70.950000,62
81.450000,-70.666667,62
81.450000,-70.383333,62
81.450000,-70.100000,62
81.450000,-69.816667,62
81.450000,-69.533333,62
81.450000,-69.250000,62
81.450000,-68.966667,62
81.450000,-68.683333,62
81.450000,-68.400000,62
81.450000,-68.116667,62
81.450000,-67.833333,62
81.450000,-67.550000,62
81.450000,-67.266667,62
81.450000,-66.133333,62
81.450000,-65.850000,62
81.450000,-65.566667,62
81.450000,-65.283333,62
81.450000,-65.000000,62
81.450000,-64.716667,62
81.166667,-93.050000,62
81.166667,-92.766667,62
81.166667,-92.483333,62
81.166667,-92.200000,62
81.166667,-91.916667,62
81.166667,-90.216667,62
81.166667,-89.933333,62
81.166667,-89.650000,62
81.166667,-89.366667,62
81.166667,-89.083333,62
81.166667,-88.800000,62
81.166667,-88.516667,62
81.166667,-88.233333,62
81.166667,-87.950000,62
81.166667,-87.666667,62
81.166667,-87.383333,62
81.166667,-87.100000,62
81.166667,-86.816667,62
81.166667,-86.533333,62
81.166667,-86.250000,62
81.166667,-85.400000,62
81.166667,-85.116667,62
81.166667,-84.833333,62
81.166667,-84.550000,62
81.166667,-84.266667,62
81.166667,-83.983333,62
81.166667,-83.700000,62
81.166667,-83.416667,62
81.166667,-83.133333,62
81.166667,-82.566667,62
81.166667,-82.283333,62
81.166667,-82.000000,62
81.166667,-81.716667,62
81.166667,-81.433333,62
81.166667,-81.150000,62
81.166667,-80.866667,62
81.166667,-80.583333,62
81.166667,-80.300000,62
81.166667,-80.016667,62
81.166667,-79.733333,62
81.166667,-79.166667,62
81.166667,-78.883333,62
81.166667,-78.033333,62
81.166667,-77.750000,62
81.166667,-77.466667,62
81.166667,-77.183333,62
81.166667,-76.900000,62
81.166667,-76.616667,62
81.166667,-76.333333,62
81.166667,-76.050000,62
81.166667,-75.766667,62
81.166667,-75.483333,62
81.166667,-75.200000,62
81.166667,-74.916667,62
81.166667,-74.633333,62
81.166667,-74.350000,62
81.166667,-74.066667,62
81.166667,-73.783333,62
